"","expensive"
"rooms",0.11
"single",0.11
"someone",0.11
"somewhat",0.11
"streets",0.11
"tends",0.11
"though",0.11
"time",0.11
"trying",0.11
"value",0.11
"'ll",0.1
"amount",0.1
"anything",0.1
"anywhere",0.1
"around",0.1
"atms",0.1
"bags",0.1
"book",0.1
"bottle",0.1
"bring",0.1
"buses",0.1
"can",0.1
"careful",0.1
"choose",0.1
"clubs",0.1
"crowded",0.1
"definitely",0.1
"different",0.1
"dishes",0.1
"eat",0.1
"every",0.1
"excellent",0.1
"fare",0.1
"fares",0.1
"fee",0.1
"foreigners",0.1
"front",0.1
"hostels",0.1
"idea",0.1
"illegal",0.1
"imported",0.1
"instead",0.1
"likely",0.1
"longer",0.1
"looking",0.1
"lot",0.1
"meal",0.1
"menu",0.1
"mind",0.1
"must",0.1
"negotiate",0.1
"others",0.1
"passport",0.1
"person",0.1
"pick",0.1
"plan",0.1
"pretty",0.1
"private",0.1
"purchase",0.1
"rates",0.1
"really",0.1
"reasonable",0.1
"refuse",0.1
"ride",0.1
"room",0.1
"run",0.1
"say",0.1
"similar",0.1
"sold",0.1
"start",0.1
"stay",0.1
"tourist",0.1
"traffic",0.1
"trip",0.1
"useful",0.1
"using",0.1
"valid",0.1
"vary",0.1
"walk",0.1
"advance",0.09
"agree",0.09
"air",0.09
"airlines",0.09
"allow",0.09
"apply",0.09
"asian",0.09
"available",0.09
"average",0.09
"back",0.09
"big",0.09
"booked",0.09
"booking",0.09
"cafes",0.09
"carry",0.09
"check",0.09
"close",0.09
"consider",0.09
"couple",0.09
"dangerous",0.09
"day",0.09
"deal",0.09
"decent",0.09
"drinking",0.09
"either",0.09
"end",0.09
"enter",0.09
"exclusive",0.09
"expected",0.09
"fixed",0.09
"floor",0.09
"gets",0.09
"hotel",0.09
"however",0.09
"just",0.09
"large",0.09
"leaving",0.09
"let",0.09
"lots",0.09
"low",0.09
"luggage",0.09
"luxury",0.09
"minimum",0.09
"mostly",0.09
"nightlife",0.09
"normal",0.09
"normally",0.09
"number",0.09
"official",0.09
"online",0.09
"order",0.09
"otherwise",0.09
"passengers",0.09
"people",0.09
"phones",0.09
"polite",0.09
"popular",0.09
"possible",0.09
"problems",0.09
"put",0.09
"rarely",0.09
"reasonably",0.09
"remember",0.09
"require",0.09
"return",0.09
"right",0.09
"rude",0.09
"seem",0.09
"set",0.09
"shops",0.09
"show",0.09
"sim",0.09
"simply",0.09
"singles",0.09
"sit",0.09
"smaller",0.09
"speak",0.09
"standard",0.09
"staying",0.09
"tap",0.09
"tasty",0.09
"tell",0.09
"things",0.09
"think",0.09
"times",0.09
"travel",0.09
"travellers",0.09
"typically",0.09
"usual",0.09
"visas",0.09
"waiting",0.09
"way",0.09
"wear",0.09
"well",0.09
"widely",0.09
"willing",0.09
"women",0.09
"work",0.09
"young",0.09
"''''",0.08
"accepted",0.08
"actually",0.08
"additional",0.08
"affordable",0.08
"alcohol",0.08
"allowed",0.08
"alone",0.08
"approach",0.08
"arrive",0.08
"atm",0.08
"attention",0.08
"basic",0.08
"behind",0.08
"bother",0.08
"bottles",0.08
"bought",0.08
"brands",0.08
"bus",0.08
"busy",0.08
"call",0.08
"care",0.08
"cars",0.08
"case",0.08
"certainly",0.08
"choice",0.08
"cocktails",0.08
"coins",0.08
"come",0.08
"costing",0.08
"cover",0.08
"crime",0.08
"crowd",0.08
"departure",0.08
"directly",0.08
"dish",0.08
"double",0.08
"drunk",0.08
"due",0.08
"easy",0.08
"eating",0.08
"else",0.08
"elsewhere",0.08
"entry",0.08
"everyone",0.08
"everything",0.08
"except",0.08
"expat",0.08
"fairly",0.08
"feel",0.08
"finding",0.08
"flights",0.08
"found",0.08
"frequently",0.08
"fresh",0.08
"full",0.08
"grilled",0.08
"helpful",0.08
"high",0.08
"hostel",0.08
"huge",0.08
"ignore",0.08
"included",0.08
"increasing",0.08
"insurance",0.08
"issue",0.08
"journeys",0.08
"language",0.08
"larger",0.08
"latin",0.08
"legal",0.08
"limited",0.08
"makes",0.08
"many",0.08
"means",0.08
"meet",0.08
"menus",0.08
"mid-range",0.08
"mobile",0.08
"modern",0.08
"morning",0.08
"music",0.08
"never",0.08
"nightclubs",0.08
"numbers",0.08
"obtain",0.08
"offering",0.08
"opposite",0.08
"options",0.08
"parts",0.08
"passports",0.08
"payment",0.08
"place",0.08
"plastic",0.08
"poor",0.08
"regardless",0.08
"reliable",0.08
"rent",0.08
"risk",0.08
"save",0.08
"seats",0.08
"security",0.08
"see",0.08
"selection",0.08
"sense",0.08
"several",0.08
"something",0.08
"speaks",0.08
"spend",0.08
"still",0.08
"student",0.08
"students",0.08
"take",0.08
"taking",0.08
"tastes",0.08
"tax",0.08
"terminal",0.08
"terminals",0.08
"top",0.08
"touts",0.08
"transport",0.08
"trips",0.08
"two",0.08
"typical",0.08
"ubiquitous",0.08
"unlikely",0.08
"valuables",0.08
"vendors",0.08
"violent",0.08
"virtually",0.08
"visiting",0.08
"walking",0.08
"wallet",0.08
"wi-fi",0.08
"wifi",0.08
"wise",0.08
"afternoon",0.07
"also",0.07
"areas",0.07
"atmosphere",0.07
"away",0.07
"baggage",0.07
"bargaining",0.07
"beers",0.07
"bottled",0.07
"called",0.07
"commission",0.07
"customers",0.07
"discount",0.07
"domestic",0.07
"dorm",0.07
"electronic",0.07
"empty",0.07
"enough",0.07
"everywhere",0.07
"exception",0.07
"expats",0.07
"faster",0.07
"flight",0.07
"foreigner",0.07
"french",0.07
"fruit",0.07
"given",0.07
"great",0.07
"guide",0.07
"hour",0.07
"inside",0.07
"kind",0.07
"learn",0.07
"locations",0.07
"luxurious",0.07
"midnight",0.07
"miss",0.07
"mix",0.07
"mixed",0.07
"nightclub",0.07
"notes",0.07
"nothing",0.07
"notorious",0.07
"one",0.07
"operate",0.07
"owner",0.07
"plenty",0.07
"priced",0.07
"purchased",0.07
"range",0.07
"recently",0.07
"regular",0.07
"renting",0.07
"rooftop",0.07
"rules",0.07
"seems",0.07
"selling",0.07
"serve",0.07
"shopping",0.07
"short",0.07
"side",0.07
"simple",0.07
"since",0.07
"slow",0.07
"somewhere",0.07
"stick",0.07
"stores",0.07
"surcharge",0.07
"system",0.07
"theft",0.07
"throughout",0.07
"tour",0.07
"transfers",0.07
"trendy",0.07
"unlike",0.07
"usd",0.07
"uses",0.07
"variety",0.07
"waiters",0.07
"watch",0.07
"week",0.07
"whole",0.07
