"","will"
"spend",0.11
"staying",0.11
"tour",0.11
"tourists",0.11
"visa",0.11
"visit",0.11
"worth",0.11
"accept",0.1
"advance",0.1
"almost",0.1
"also",0.1
"anything",0.1
"available",0.1
"basic",0.1
"buses",0.1
"carry",0.1
"case",0.1
"choose",0.1
"clean",0.1
"drinks",0.1
"driving",0.1
"encounter",0.1
"ensure",0.1
"fee",0.1
"foreign",0.1
"friendly",0.1
"helpful",0.1
"hire",0.1
"hours",0.1
"idea",0.1
"local",0.1
"long",0.1
"looking",0.1
"many",0.1
"meet",0.1
"mind",0.1
"morning",0.1
"negotiate",0.1
"next",0.1
"order",0.1
"paying",0.1
"plenty",0.1
"say",0.1
"security",0.1
"seem",0.1
"show",0.1
"sign",0.1
"sit",0.1
"something",0.1
"soon",0.1
"takes",0.1
"taking",0.1
"tend",0.1
"though",0.1
"tourist",0.1
"traffic",0.1
"walking",0.1
"whole",0.1
"willing",0.1
"women",0.1
"'ve",0.09
"advisable",0.09
"allow",0.09
"anyone",0.09
"arrival",0.09
"away",0.09
"bars",0.09
"behind",0.09
"beware",0.09
"big",0.09
"book",0.09
"budget",0.09
"buying",0.09
"cards",0.09
"cars",0.09
"certainly",0.09
"chance",0.09
"cheapest",0.09
"companies",0.09
"consider",0.09
"couple",0.09
"currency",0.09
"decent",0.09
"definitely",0.09
"different",0.09
"directly",0.09
"done",0.09
"easy",0.09
"else",0.09
"entrance",0.09
"everyone",0.09
"everything",0.09
"everywhere",0.09
"exchange",0.09
"experience",0.09
"extra",0.09
"fare",0.09
"fill",0.09
"foreigners",0.09
"found",0.09
"front",0.09
"hand",0.09
"head",0.09
"heading",0.09
"however",0.09
"instead",0.09
"leaving",0.09
"longer",0.09
"meal",0.09
"miss",0.09
"never",0.09
"normally",0.09
"number",0.09
"official",0.09
"operators",0.09
"owner",0.09
"please",0.09
"private",0.09
"problem",0.09
"provide",0.09
"purchase",0.09
"put",0.09
"rate",0.09
"rather",0.09
"reach",0.09
"rent",0.09
"room",0.09
"run",0.09
"save",0.09
"selling",0.09
"serve",0.09
"set",0.09
"side",0.09
"simply",0.09
"slightly",0.09
"still",0.09
"straight",0.09
"thing",0.09
"top",0.09
"touts",0.09
"towards",0.09
"trying",0.09
"using",0.09
"vendors",0.09
"visitors",0.09
"watch",0.09
"wear",0.09
"whether",0.09
"work",0.09
"actually",0.08
"agencies",0.08
"agree",0.08
"air",0.08
"allowed",0.08
"along",0.08
"already",0.08
"amount",0.08
"arranged",0.08
"arriving",0.08
"asked",0.08
"atm",0.08
"baggage",0.08
"beer",0.08
"boat",0.08
"bottle",0.08
"call",0.08
"certain",0.08
"choice",0.08
"coming",0.08
"continue",0.08
"countries",0.08
"customs",0.08
"deal",0.08
"dollars",0.08
"due",0.08
"eat",0.08
"end",0.08
"enough",0.08
"entering",0.08
"every",0.08
"finding",0.08
"first",0.08
"fixed",0.08
"follow",0.08
"fresh",0.08
"fruit",0.08
"full",0.08
"guides",0.08
"happy",0.08
"higher",0.08
"highly",0.08
"inside",0.08
"insist",0.08
"internet",0.08
"journey",0.08
"last",0.08
"learn",0.08
"limited",0.08
"lots",0.08
"luggage",0.08
"matter",0.08
"means",0.08
"mostly",0.08
"pass",0.08
"passengers",0.08
"past",0.08
"place",0.08
"pretty",0.08
"problems",0.08
"rarely",0.08
"refuse",0.08
"reliable",0.08
"required",0.08
"respect",0.08
"rice",0.08
"risk",0.08
"roads",0.08
"rooms",0.08
"safety",0.08
"seats",0.08
"seems",0.08
"shops",0.08
"short",0.08
"speaks",0.08
"surprised",0.08
"terminal",0.08
"things",0.08
"think",0.08
"tickets",0.08
"transport",0.08
"travelers",0.08
"traveling",0.08
"travellers",0.08
"travelling",0.08
"turn",0.08
"unlikely",0.08
"upon",0.08
"usd",0.08
"visas",0.08
"visiting",0.08
"well",0.08
"young",0.08
"across",0.07
"alcohol",0.07
"areas",0.07
"atms",0.07
"bags",0.07
"beautiful",0.07
"booked",0.07
"booking",0.07
"bottled",0.07
"called",0.07
"card",0.07
"cash",0.07
"charged",0.07
"charges",0.07
"climb",0.07
"crowded",0.07
"decide",0.07
"departure",0.07
"drinking",0.07
"eating",0.07
"embassy",0.07
"excellent",0.07
"expected",0.07
"fairly",0.07
"forget",0.07
"happily",0.07
"hot",0.07
"ignore",0.07
"illegal",0.07
"insurance",0.07
"issue",0.07
"items",0.07
"lack",0.07
"language",0.07
"lead",0.07
"leaves",0.07
"made",0.07
"majority",0.07
"normal",0.07
"notice",0.07
"offices",0.07
"ones",0.07
"options",0.07
"polite",0.07
"quality",0.07
"reasonable",0.07
"receive",0.07
"remote",0.07
"shared",0.07
"signs",0.07
"since",0.07
"single",0.07
"stalls",0.07
"trips",0.07
"tropical",0.07
"two",0.07
"typically",0.07
"usual",0.07
"vehicle",0.07
"view",0.07
"water",0.07
"ways",0.07
"whatever",0.07
"wish",0.07
