"","price"
"tourists",0.11
"touts",0.11
"use",0.11
"visa",0.11
"worth",0.11
"advance",0.1
"air-con",0.1
"asking",0.1
"aware",0.1
"bargaining",0.1
"bars",0.1
"basic",0.1
"booking",0.1
"buses",0.1
"careful",0.1
"charged",0.1
"choose",0.1
"crowded",0.1
"day",0.1
"decent",0.1
"different",0.1
"dishes",0.1
"dorm",0.1
"english",0.1
"entrance",0.1
"everywhere",0.1
"feel",0.1
"going",0.1
"hard",0.1
"help",0.1
"helpful",0.1
"idea",0.1
"included",0.1
"insist",0.1
"leaving",0.1
"let",0.1
"longer",0.1
"low",0.1
"luggage",0.1
"meal",0.1
"minibus",0.1
"minimum",0.1
"mobile",0.1
"much",0.1
"next",0.1
"normally",0.1
"order",0.1
"passengers",0.1
"payment",0.1
"people",0.1
"pick",0.1
"rates",0.1
"rather",0.1
"refuse",0.1
"remember",0.1
"return",0.1
"ride",0.1
"seem",0.1
"shops",0.1
"sim",0.1
"slightly",0.1
"speak",0.1
"standard",0.1
"takes",0.1
"tell",0.1
"terminal",0.1
"though",0.1
"tourist",0.1
"travel",0.1
"waiting",0.1
"wifi",0.1
"'ll",0.09
"almost",0.09
"already",0.09
"although",0.09
"anything",0.09
"arrival",0.09
"asked",0.09
"average",0.09
"back",0.09
"bathrooms",0.09
"best",0.09
"big",0.09
"bottle",0.09
"bought",0.09
"call",0.09
"case",0.09
"cash",0.09
"change",0.09
"choice",0.09
"coffee",0.09
"come",0.09
"common",0.09
"companies",0.09
"compared",0.09
"directly",0.09
"european",0.09
"fast",0.09
"hostel",0.09
"hotel",0.09
"hour",0.09
"just",0.09
"little",0.09
"long",0.09
"looking",0.09
"lot",0.09
"meat",0.09
"mind",0.09
"morning",0.09
"must",0.09
"offices",0.09
"official",0.09
"ones",0.09
"others",0.09
"outside",0.09
"plan",0.09
"plastic",0.09
"possible",0.09
"probably",0.09
"quoted",0.09
"rarely",0.09
"really",0.09
"rent",0.09
"restaurant",0.09
"right",0.09
"safe",0.09
"save",0.09
"seats",0.09
"see",0.09
"simple",0.09
"sold",0.09
"someone",0.09
"something",0.09
"spend",0.09
"take",0.09
"things",0.09
"times",0.09
"tipping",0.09
"unless",0.09
"valid",0.09
"value",0.09
"vary",0.09
"vegetarian",0.09
"walk",0.09
"way",0.09
"whole",0.09
"women",0.09
"additional",0.08
"affordable",0.08
"agencies",0.08
"anyone",0.08
"arabic",0.08
"atmosphere",0.08
"authentic",0.08
"away",0.08
"behind",0.08
"board",0.08
"booked",0.08
"bottled",0.08
"bring",0.08
"certain",0.08
"class",0.08
"close",0.08
"clubs",0.08
"cocktails",0.08
"commission",0.08
"consider",0.08
"countries",0.08
"days",0.08
"deal",0.08
"definitely",0.08
"desk",0.08
"difficult",0.08
"discount",0.08
"dollars",0.08
"drinking",0.08
"duration",0.08
"eating",0.08
"either",0.08
"embassy",0.08
"end",0.08
"entry",0.08
"excellent",0.08
"far",0.08
"finding",0.08
"found",0.08
"fruit",0.08
"grilled",0.08
"guesthouse",0.08
"half",0.08
"hand",0.08
"happy",0.08
"hot",0.08
"however",0.08
"inside",0.08
"instead",0.08
"insurance",0.08
"journey",0.08
"leaves",0.08
"likely",0.08
"markets",0.08
"meter",0.08
"metered",0.08
"modern",0.08
"never",0.08
"numbers",0.08
"office",0.08
"online",0.08
"operators",0.08
"opposite",0.08
"phones",0.08
"place",0.08
"places",0.08
"please",0.08
"plenty",0.08
"prepared",0.08
"purchase",0.08
"range",0.08
"real",0.08
"reliable",0.08
"reputable",0.08
"rice",0.08
"rooftop",0.08
"say",0.08
"season",0.08
"seems",0.08
"selling",0.08
"set",0.08
"show",0.08
"shower",0.08
"sign",0.08
"similar",0.08
"sit",0.08
"speaking",0.08
"speaks",0.08
"stalls",0.08
"starting",0.08
"staying",0.08
"surcharge",0.08
"surprised",0.08
"table",0.08
"tap",0.08
"tax",0.08
"tour",0.08
"traffic",0.08
"travellers",0.08
"trying",0.08
"tv",0.08
"usd",0.08
"using",0.08
"variety",0.08
"vendors",0.08
"vip",0.08
"visas",0.08
"week",0.08
"willing",0.08
"work",0.08
"young",0.08
"'ve",0.07
"add",0.07
"afternoon",0.07
"agents",0.07
"amount",0.07
"anywhere",0.07
"applies",0.07
"arrive",0.07
"attention",0.07
"available",0.07
"bottles",0.07
"buffet",0.07
"cafes",0.07
"carry",0.07
"charges",0.07
"charging",0.07
"chinese",0.07
"citizens",0.07
"clothes",0.07
"customers",0.07
"dance",0.07
"debit",0.07
"delicious",0.07
"depart",0.07
"direct",0.07
"discounts",0.07
"eat",0.07
"empty",0.07
"extremely",0.07
"fan",0.07
"guide",0.07
"illegal",0.07
"indonesian",0.07
"inflated",0.07
"kind",0.07
"last",0.07
"list",0.07
"local",0.07
"lots",0.07
"made",0.07
"massage",0.07
"meals",0.07
"meet",0.07
"menu",0.07
"mid-range",0.07
"min",0.07
"mixed",0.07
"mosquito",0.07
"motorbike",0.07
"notes",0.07
"number",0.07
"obtain",0.07
"open",0.07
"overpriced",0.07
"padi",0.07
"pick-",0.07
"pool",0.07
"prepaid",0.07
"problems",0.07
"provide",0.07
"purchased",0.07
"put",0.07
"regardless",0.07
"relatively",0.07
"serve",0.07
"soft",0.07
"soup",0.07
"special",0.07
"still",0.07
"stop",0.07
"streets",0.07
"style",0.07
"taking",0.07
"tasty",0.07
"top",0.07
"transport",0.07
"trips",0.07
"types",0.07
"typically",0.07
"used",0.07
"watch",0.07
"wear",0.07
"wi-fi",0.07
